timestamp,session,title,source,link,category
2026-07-09T12:00:00+00:00,manual,Tehran launches more strikes after explosions reported in southern Iran,bbc.co.uk,https://www.bbc.co.uk/news/articles/cz75zjj5wp8o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T12:00:00+00:00,manual,"Big drop in oil, gas and cargo ships crossing Strait of Hormuz after new strikes",bbc.co.uk,https://www.bbc.co.uk/news/articles/c621k5r8764o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T12:00:00+00:00,manual,Democrat Graham Platner suspends campaign for key US Senate race after assault allegation,bbc.co.uk,https://www.bbc.co.uk/news/articles/c9v229434p2o?at_medium=RSS&at_campaign=rss,Elections / political instability
2026-07-09T12:00:00+00:00,manual,"Ukraine strikes Russian ships near Crimea, escalating attacks on fuel supplies",bbc.co.uk,https://www.bbc.co.uk/news/articles/c70yd1g67z5o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T12:00:00+00:00,manual,Ex-Olympian pleads not guilty to Reflecting Pool vandalism charges,bbc.co.uk,https://www.bbc.co.uk/news/articles/c78y013ny3eo?at_medium=RSS&at_campaign=rss,Other
2026-07-09T20:05:01+00:00,close,Tehran launches more strikes after explosions reported in southern Iran,bbc.co.uk,https://www.bbc.co.uk/news/articles/cz75zjj5wp8o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T20:05:01+00:00,close,"Big fall in oil, gas and cargo ships taking US-backed Hormuz route after new strikes",bbc.co.uk,https://www.bbc.co.uk/news/articles/c621k5r8764o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T20:05:01+00:00,close,Democrat Graham Platner suspends campaign for key US Senate race after assault allegation,bbc.co.uk,https://www.bbc.co.uk/news/articles/c9v229434p2o?at_medium=RSS&at_campaign=rss,Elections / political instability
2026-07-09T20:05:01+00:00,close,Greek F-16 fighter jet crash-lands at busy Zakynthos airport,bbc.co.uk,https://www.bbc.co.uk/news/articles/czrxz18720eo?at_medium=RSS&at_campaign=rss,Other
2026-07-09T20:05:01+00:00,close,"Ukraine strikes Russian ships near Crimea, escalating attacks on fuel supplies",bbc.co.uk,https://www.bbc.co.uk/news/articles/c70yd1g67z5o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T21:48:46+00:00,manual,Tehran launches more strikes after explosions reported in southern Iran,bbc.co.uk,https://www.bbc.co.uk/news/articles/cz75zjj5wp8o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
2026-07-09T21:48:46+00:00,manual,"Big fall in oil, gas and cargo ships taking US-backed Hormuz route after new strikes",bbc.co.uk,https://www.bbc.co.uk/news/articles/c621k5r8764o?at_medium=RSS&at_campaign=rss,Geopolitical conflict
